Semana,Seguidores_PSOE,Seguidos_PSOE,Seguidores_Podemos,Seguidos_Podemos,Seguidores_PP,Seguidos_PP,Seguidores_Vox,Seguidos_Vox
17-08-2020,258,-2,605,-3,290,-11,365,-5
24-08-2020,467,-2,577,2,370,-5,123,-2
31-08-2020,282,-8,72,-1,78,-8,47,3
07-09-2020,323,9,106,1,142,1,381,8
14-09-2020,249,-1,24,1,106,-4,68,-2
21-09-2020,315,-3,224,-1,3277,2671,255,2
28-09-2020,355,-5,84,2,409,-11,1021,4
05-10-2020,435,-6,454,2,613,-2,623,0
12-10-2020,472,-1,493,3,652,-33,817,-3
19-10-2020,988,-6,992,6,-387,-234,2048,-1
